平均加速度 > 0.01 的文件索引列表
============================================================

总文件数: 23161
符合条件的文件数: 6154

索引       平均加速度           文件名
17849    0.021954        us-pa-pittsburgh-hazelwood_67c6b44378135403.npz
16695    0.021925        us-pa-pittsburgh-hazelwood_486f23bb458a5aaf.npz
16231    0.021913        us-pa-pittsburgh-hazelwood_3b9be87ab6e45f7a.npz
2455     0.021901        sg-one-north_52bdabd88dfc5f3d.npz
19736    0.021888        us-pa-pittsburgh-hazelwood_9d7a25dffa40540c.npz
22286    0.021856        us-pa-pittsburgh-hazelwood_e79a137b51bf597c.npz
17415    0.021849        us-pa-pittsburgh-hazelwood_5b97c39e76735380.npz
19956    0.021847        us-pa-pittsburgh-hazelwood_a3ad92e0010b5682.npz
5526     0.021834        sg-one-north_be3558bd64865e1f.npz
22787    0.021833        us-pa-pittsburgh-hazelwood_f62258c485025404.npz
1994     0.021827        sg-one-north_425e858187a85025.npz
22077    0.021818        us-pa-pittsburgh-hazelwood_e1d14cf1ad315ba4.npz
16294    0.021815        us-pa-pittsburgh-hazelwood_3dd2f1d3ccd35a8f.npz
15086    0.021808        us-pa-pittsburgh-hazelwood_1b4b6a2d67cc5412.npz
21198    0.021808        us-pa-pittsburgh-hazelwood_c7dc3e29820f5cd6.npz
9712     0.021801        us-ma-boston_7b35f628f2ad5729.npz
15207    0.021758        us-pa-pittsburgh-hazelwood_1eaeb8afc7895757.npz
12450    0.021745        us-nv-las-vegas-strip_1c9e816b46f256ae.npz
9757     0.021742        us-ma-boston_7d404b0d0f555b75.npz
3325     0.021735        sg-one-north_7193060eac845f5d.npz
12576    0.021730        us-nv-las-vegas-strip_2ca0858ca98e5b1d.npz
1905     0.021729        sg-one-north_3f2070551be151e5.npz
17932    0.021703        us-pa-pittsburgh-hazelwood_6a1c14bd956454e2.npz
19701    0.021691        us-pa-pittsburgh-hazelwood_9c5d4a70672e58cc.npz
17300    0.021684        us-pa-pittsburgh-hazelwood_58d1be6f4279587c.npz
21621    0.021683        us-pa-pittsburgh-hazelwood_d4e3a49e2a9a5216.npz
15484    0.021677        us-pa-pittsburgh-hazelwood_2634f1812ac057d0.npz
2588     0.021665        sg-one-north_572908227a425685.npz
9745     0.021664        us-ma-boston_7cc4c0a169fc5c34.npz
4752     0.021652        sg-one-north_a27ff6c9bdcf50b1.npz
21522    0.021634        us-pa-pittsburgh-hazelwood_d1deee2e46a65735.npz
18009    0.021621        us-pa-pittsburgh-hazelwood_6c388e02bb2155b9.npz
1286     0.021592        sg-one-north_2b1b8ea88be653d8.npz
14342    0.021589        us-pa-pittsburgh-hazelwood_05674248095559e0.npz
17391    0.021583        us-pa-pittsburgh-hazelwood_5b0f917dba4a5b9a.npz
9979     0.021580        us-ma-boston_88b30df7cbb05bcd.npz
1891     0.021568        sg-one-north_3ec45d596a185c11.npz
8252     0.021561        us-ma-boston_2b59aeb929715712.npz
18285    0.021542        us-pa-pittsburgh-hazelwood_756e67e58cc153e5.npz
14860    0.021540        us-pa-pittsburgh-hazelwood_14fdf598330d555a.npz
21209    0.021521        us-pa-pittsburgh-hazelwood_c828fdcaa91f56ba.npz
10133    0.021517        us-ma-boston_914447566c4251e8.npz
20417    0.021515        us-pa-pittsburgh-hazelwood_b0fd402757be5bad.npz
20180    0.021506        us-pa-pittsburgh-hazelwood_aa7fdd15e22454af.npz
12825    0.021501        us-nv-las-vegas-strip_4d6321ead79e5f1a.npz
2718     0.021483        sg-one-north_5b35b839fe695f77.npz
13665    0.021483        us-nv-las-vegas-strip_c159383c8ab65a54.npz
5513     0.021478        sg-one-north_bdc2cd60c53a5fa9.npz
13553    0.021473        us-nv-las-vegas-strip_b349971033745a00.npz
885      0.021449        sg-one-north_1e444ef9a5285996.npz
21010    0.021438        us-pa-pittsburgh-hazelwood_c17b3b0d86255ae5.npz
3067     0.021431        sg-one-north_671a108a89745ad5.npz
22586    0.021431        us-pa-pittsburgh-hazelwood_f08f05650a3e5dec.npz
9148     0.021417        us-ma-boston_5d2b95bb925e5d5b.npz
14297    0.021399        us-pa-pittsburgh-hazelwood_046c9035270c5c0d.npz
19472    0.021398        us-pa-pittsburgh-hazelwood_95faf721c8f257b1.npz
15501    0.021382        us-pa-pittsburgh-hazelwood_267a50bab5bf5c2e.npz
10685    0.021382        us-ma-boston_aeebe88e62875592.npz
21083    0.021379        us-pa-pittsburgh-hazelwood_c41b853c5d005868.npz
18477    0.021379        us-pa-pittsburgh-hazelwood_7b5df98d177654c4.npz
1853     0.021374        sg-one-north_3da161b2477252da.npz
23149    0.021357        us-pa-pittsburgh-hazelwood_ffb09f76482b518d.npz
17670    0.021334        us-pa-pittsburgh-hazelwood_6302b3eff6d8524f.npz
2044     0.021325        sg-one-north_44884bd00a06551f.npz
6731     0.021310        sg-one-north_e722857448da528f.npz
5022     0.021293        sg-one-north_ace05e560d7d5001.npz
20497    0.021259        us-pa-pittsburgh-hazelwood_b31bb7f84d9e5113.npz
14185    0.021252        us-pa-pittsburgh-hazelwood_01a7b8957d9c5669.npz
19626    0.021250        us-pa-pittsburgh-hazelwood_9a4ee84f59655509.npz
18425    0.021248        us-pa-pittsburgh-hazelwood_79a723d6442e56d6.npz
2462     0.021246        sg-one-north_52f02362aa8e5aec.npz
5398     0.021240        sg-one-north_b9a9ffdb4f92509b.npz
1156     0.021237        sg-one-north_26c05e770a515617.npz
11120    0.021230        us-ma-boston_c472527463bc5aaf.npz
16204    0.021213        us-pa-pittsburgh-hazelwood_3a8d7177da3c58bf.npz
4688     0.021211        sg-one-north_a059ad8bada65289.npz
13459    0.021207        us-nv-las-vegas-strip_a8add0f6156c5beb.npz
14684    0.021196        us-pa-pittsburgh-hazelwood_0f8599287dd65a0e.npz
4987     0.021195        sg-one-north_abb461e8e43a51c8.npz
20276    0.021181        us-pa-pittsburgh-hazelwood_ad297ba63bab533c.npz
8627     0.021153        us-ma-boston_3fd5767bd37c5808.npz
20755    0.021149        us-pa-pittsburgh-hazelwood_baadbf1ac0da51e9.npz
12894    0.021139        us-nv-las-vegas-strip_5976b49ced3a5ced.npz
8176     0.021137        us-ma-boston_26fc20add76b5340.npz
10119    0.021127        us-ma-boston_90a07acd0b355ce6.npz
5197     0.021117        sg-one-north_b341905d5e505725.npz
19487    0.021098        us-pa-pittsburgh-hazelwood_965d3f13958a5787.npz
17664    0.021088        us-pa-pittsburgh-hazelwood_62edab7fdcc05eab.npz
19003    0.021086        us-pa-pittsburgh-hazelwood_89905dc017225ea5.npz
5873     0.021073        sg-one-north_c87fca604878529a.npz
12551    0.021060        us-nv-las-vegas-strip_2994937a6e345a98.npz
19357    0.021058        us-pa-pittsburgh-hazelwood_932b49a740a45a44.npz
22382    0.021050        us-pa-pittsburgh-hazelwood_ea1d2a6c156b5134.npz
23022    0.021046        us-pa-pittsburgh-hazelwood_fc45dc8a70b15a94.npz
12702    0.021038        us-nv-las-vegas-strip_3d29eda709535d05.npz
3463     0.021027        sg-one-north_767b5bc16c875d79.npz
21251    0.021019        us-pa-pittsburgh-hazelwood_c982d76bf0365aff.npz
22619    0.021013        us-pa-pittsburgh-hazelwood_f15085594cbc5017.npz
21095    0.021013        us-pa-pittsburgh-hazelwood_c4757207524558cd.npz
18625    0.021012        us-pa-pittsburgh-hazelwood_7f287201f1825ff1.npz
12528    0.020989        us-nv-las-vegas-strip_26d4cb523f1152a2.npz
9218     0.020982        us-ma-boston_6103c671d0a45d74.npz
985      0.020975        sg-one-north_210f6ffe580e5592.npz
13636    0.020968        us-nv-las-vegas-strip_be009e81122d5488.npz
15683    0.020945        us-pa-pittsburgh-hazelwood_2c39835d19d259df.npz
11866    0.020940        us-ma-boston_ec3fe5a67c3258f0.npz
16796    0.020921        us-pa-pittsburgh-hazelwood_4adb6a0e82e8515c.npz
20325    0.020894        us-pa-pittsburgh-hazelwood_aea13441ce8a52f8.npz
8428     0.020884        us-ma-boston_33ebadeab9275ecf.npz
15623    0.020864        us-pa-pittsburgh-hazelwood_2a2a3bd16fb95a1c.npz
1564     0.020861        sg-one-north_3434cb0eed88515d.npz
14687    0.020840        us-pa-pittsburgh-hazelwood_0f9b21f231f15704.npz
20024    0.020840        us-pa-pittsburgh-hazelwood_a5713af66c085ff0.npz
15997    0.020831        us-pa-pittsburgh-hazelwood_352ccbb04d2c5191.npz
12911    0.020810        us-nv-las-vegas-strip_5af69bcaa25351d4.npz
5708     0.020795        sg-one-north_c370ae96cb92589d.npz
8467     0.020788        us-ma-boston_35df0fed65f35c37.npz
14164    0.020770        us-pa-pittsburgh-hazelwood_012f55d2b9ec5314.npz
22341    0.020761        us-pa-pittsburgh-hazelwood_e93a80f8d1ad5c7c.npz
17806    0.020742        us-pa-pittsburgh-hazelwood_66a224600a475895.npz
7368     0.020716        sg-one-north_fbc3235d73215694.npz
17102    0.020707        us-pa-pittsburgh-hazelwood_534f4dc88b185a0e.npz
12203    0.020706        us-ma-boston_fe2872e262fa5dc9.npz
7951     0.020684        us-ma-boston_1b9d07ec125f553c.npz
15130    0.020672        us-pa-pittsburgh-hazelwood_1c85883efebf55ca.npz
12859    0.020671        us-nv-las-vegas-strip_53bced9bd4535957.npz
16701    0.020670        us-pa-pittsburgh-hazelwood_488762e29993595b.npz
3131     0.020644        sg-one-north_692e7060f30a5b98.npz
17636    0.020643        us-pa-pittsburgh-hazelwood_61fd273ae4105985.npz
12061    0.020632        us-ma-boston_f695a3a645ee536b.npz
3461     0.020628        sg-one-north_76592e4f095f567b.npz
8848     0.020620        us-ma-boston_4cf1d11b70ef5c74.npz
17434    0.020619        us-pa-pittsburgh-hazelwood_5c3fc3725a075b54.npz
9424     0.020593        us-ma-boston_6bdfc79a9b5657d5.npz
23112    0.020591        us-pa-pittsburgh-hazelwood_fe9c48088fa351d2.npz
20923    0.020574        us-pa-pittsburgh-hazelwood_beee3a020e3e57f1.npz
21493    0.020551        us-pa-pittsburgh-hazelwood_d0de74d36d5c50a7.npz
11335    0.020547        us-ma-boston_cfe548d459c85339.npz
16909    0.020544        us-pa-pittsburgh-hazelwood_4df6d6144cf95407.npz
9335     0.020530        us-ma-boston_677caa1bcf3e53bf.npz
1562     0.020529        sg-one-north_34320d6ffe3c5e06.npz
13779    0.020525        us-nv-las-vegas-strip_cebed58cf04f5187.npz
9151     0.020517        us-ma-boston_5d5675f82b3b5f24.npz
7836     0.020515        us-ma-boston_15afe1be6b9d511f.npz
22184    0.020513        us-pa-pittsburgh-hazelwood_e4cafc44e1b05e23.npz
14905    0.020513        us-pa-pittsburgh-hazelwood_15edc3aa682d5aa9.npz
20603    0.020509        us-pa-pittsburgh-hazelwood_b615f4bd6d27538d.npz
6315     0.020493        sg-one-north_d86cfdc3d1735754.npz
9744     0.020490        us-ma-boston_7cbf907cdc2b5b5c.npz
1330     0.020478        sg-one-north_2c8930c4e5bb5f8f.npz
21060    0.020447        us-pa-pittsburgh-hazelwood_c35590727a6950a9.npz
8795     0.020444        us-ma-boston_49d4920bbf11568e.npz
19192    0.020432        us-pa-pittsburgh-hazelwood_8ee1d4c56e4d5b47.npz
13147    0.020416        us-nv-las-vegas-strip_7d63fc76518c5799.npz
21534    0.020410        us-pa-pittsburgh-hazelwood_d27a7bc87f5d516c.npz
14042    0.020410        us-nv-las-vegas-strip_f46ee132f68154b1.npz
2209     0.020405        sg-one-north_4a273aac7a405c1d.npz
4690     0.020404        sg-one-north_a05d3f271d9f5448.npz
3209     0.020400        sg-one-north_6cdbdd73f3fd5e86.npz
22627    0.020382        us-pa-pittsburgh-hazelwood_f188cab391805b25.npz
1227     0.020373        sg-one-north_28f177f6d04f524a.npz
2250     0.020350        sg-one-north_4bad5d8b85605164.npz
19587    0.020329        us-pa-pittsburgh-hazelwood_994d49a690785002.npz
7902     0.020322        us-ma-boston_18fb329345af57a6.npz
7797     0.020313        us-ma-boston_13fe6088b91b5b57.npz
9350     0.020313        us-ma-boston_685e58e084c55f46.npz
15117    0.020296        us-pa-pittsburgh-hazelwood_1c1511a44a2055ac.npz
8108     0.020290        us-ma-boston_236c065825e15026.npz
8305     0.020287        us-ma-boston_2de10e58e9d15ba9.npz
15560    0.020283        us-pa-pittsburgh-hazelwood_281c36a47b8e563b.npz
2507     0.020260        sg-one-north_54576a3294735172.npz
22490    0.020242        us-pa-pittsburgh-hazelwood_ee2632d3174b5489.npz
3350     0.020233        sg-one-north_72a14744bd6d5dab.npz
14884    0.020227        us-pa-pittsburgh-hazelwood_156dbd1ac3945aeb.npz
16268    0.020223        us-pa-pittsburgh-hazelwood_3d106e7070a05e1b.npz
1989     0.020219        sg-one-north_424163026e9a5b49.npz
12662    0.020211        us-nv-las-vegas-strip_3821241ce1175c98.npz
16964    0.020209        us-pa-pittsburgh-hazelwood_4f78b61eaa845ffa.npz
22142    0.020207        us-pa-pittsburgh-hazelwood_e38a06f0630a572e.npz
16346    0.020200        us-pa-pittsburgh-hazelwood_3f39baec40b05a56.npz
21556    0.020194        us-pa-pittsburgh-hazelwood_d329102fdae2555b.npz
878      0.020187        sg-one-north_1df590eab5295edd.npz
5770     0.020178        sg-one-north_c565a540f6cb539e.npz
3748     0.020177        sg-one-north_804adfcacbe95462.npz
289      0.020173        sg-one-north_0b267799718f5305.npz
17510    0.020164        us-pa-pittsburgh-hazelwood_5ea1765c558a5b22.npz
18034    0.020163        us-pa-pittsburgh-hazelwood_6cecdc415cf25d74.npz
15298    0.020155        us-pa-pittsburgh-hazelwood_214fdd7ebacd58f0.npz
17004    0.020147        us-pa-pittsburgh-hazelwood_5086409cb76859b1.npz
20906    0.020144        us-pa-pittsburgh-hazelwood_be6ab20ab8135f88.npz
11939    0.020144        us-ma-boston_efc4fb38916153ae.npz
10337    0.020138        us-ma-boston_9bd172fd24745f0e.npz
10742    0.020131        us-ma-boston_b197df0c37a650ee.npz
22112    0.020121        us-pa-pittsburgh-hazelwood_e2c78b9717895c44.npz
14220    0.020120        us-pa-pittsburgh-hazelwood_027d60fab4665b63.npz
13220    0.020114        us-nv-las-vegas-strip_88d45a91f2205b0b.npz
21166    0.020106        us-pa-pittsburgh-hazelwood_c70a2663afa55962.npz
19321    0.020076        us-pa-pittsburgh-hazelwood_92588db213a7598c.npz
21416    0.020067        us-pa-pittsburgh-hazelwood_ce6816be71755dc1.npz
8939     0.020066        us-ma-boston_5139712e674b5b13.npz
15413    0.020056        us-pa-pittsburgh-hazelwood_242434f0c17f5f56.npz
23156    0.020046        us-pa-pittsburgh-hazelwood_ffe92ed699ce598c.npz
13612    0.020032        us-nv-las-vegas-strip_bacee312af815237.npz
2517     0.020030        sg-one-north_54a4ef37e4ba5672.npz
11705    0.020024        us-ma-boston_e442b9d5da46516c.npz
1955     0.020014        sg-one-north_40fc5a9a3ad75023.npz
17690    0.020011        us-pa-pittsburgh-hazelwood_63777b2973895b44.npz
17161    0.020006        us-pa-pittsburgh-hazelwood_551323ff4ef05ba7.npz
11676    0.020004        us-ma-boston_e276ccdc29405a29.npz
21258    0.019994        us-pa-pittsburgh-hazelwood_c9b107a44cb956c3.npz
8782     0.019988        us-ma-boston_492c37c4a6f05503.npz
17142    0.019985        us-pa-pittsburgh-hazelwood_5486a05821ac59ea.npz
21255    0.019977        us-pa-pittsburgh-hazelwood_c999ef5daebb54ee.npz
21952    0.019957        us-pa-pittsburgh-hazelwood_ddca156ecf8051a2.npz
19456    0.019955        us-pa-pittsburgh-hazelwood_95962b3f968a5ff2.npz
5325     0.019951        sg-one-north_b72d27b42b985f5e.npz
6535     0.019929        sg-one-north_e058c370a79858e0.npz
15260    0.019911        us-pa-pittsburgh-hazelwood_2064285db44e5785.npz
14317    0.019907        us-pa-pittsburgh-hazelwood_04d647b586145314.npz
6012     0.019905        sg-one-north_ce138eec3c6c544c.npz
22583    0.019880        us-pa-pittsburgh-hazelwood_f0612aad902c5e7a.npz
10108    0.019864        us-ma-boston_8fc7b1e3e9fe55f9.npz
9557     0.019864        us-ma-boston_737c495cf8b45732.npz
19289    0.019858        us-pa-pittsburgh-hazelwood_918974dd35b85bef.npz
6669     0.019858        sg-one-north_e4a18baae4215ee5.npz
6794     0.019857        sg-one-north_e961e14dadac5a7f.npz
7278     0.019850        sg-one-north_f8a74d28e4845af2.npz
4003     0.019846        sg-one-north_893f348ef768543f.npz
20514    0.019837        us-pa-pittsburgh-hazelwood_b39395d592e4569e.npz
8269     0.019834        us-ma-boston_2c3dfb2568105d7c.npz
21432    0.019800        us-pa-pittsburgh-hazelwood_cf0e5f84cbc458fc.npz
14480    0.019782        us-pa-pittsburgh-hazelwood_097039e3efe25361.npz
5058     0.019779        sg-one-north_ae267761cafb5975.npz
18756    0.019778        us-pa-pittsburgh-hazelwood_82fc89330f09589a.npz
17190    0.019777        us-pa-pittsburgh-hazelwood_55c9353cb00e5801.npz
6792     0.019777        sg-one-north_e952efea7db65095.npz
14399    0.019774        us-pa-pittsburgh-hazelwood_07003c38f55c5fb3.npz
14895    0.019770        us-pa-pittsburgh-hazelwood_159954f12d14563a.npz
7604     0.019769        us-ma-boston_081f381cbfa25e5f.npz
20501    0.019746        us-pa-pittsburgh-hazelwood_b34bd75aa0f356c2.npz
22074    0.019739        us-pa-pittsburgh-hazelwood_e1b03f78ee6552a7.npz
16303    0.019716        us-pa-pittsburgh-hazelwood_3dfc8e66fa2f55f4.npz
23142    0.019716        us-pa-pittsburgh-hazelwood_ff73b7be131b5618.npz
22051    0.019705        us-pa-pittsburgh-hazelwood_e0e489ff43175b49.npz
22413    0.019693        us-pa-pittsburgh-hazelwood_eb549c627d4b56c5.npz
12134    0.019690        us-ma-boston_fa3ce3961ddb5ae9.npz
15302    0.019688        us-pa-pittsburgh-hazelwood_217bcdb0fdc851af.npz
17620    0.019685        us-pa-pittsburgh-hazelwood_61a449906df25100.npz
14087    0.019668        us-nv-las-vegas-strip_f9029d315f635606.npz
20589    0.019665        us-pa-pittsburgh-hazelwood_b5b56107c7495215.npz
17378    0.019661        us-pa-pittsburgh-hazelwood_5ae3526622ac5a33.npz
5357     0.019659        sg-one-north_b878645d80ef587d.npz
16592    0.019655        us-pa-pittsburgh-hazelwood_45cb9f375abf5c63.npz
16896    0.019633        us-pa-pittsburgh-hazelwood_4d76283c34135d3f.npz
15465    0.019612        us-pa-pittsburgh-hazelwood_25a68f1f612c53b1.npz
13564    0.019609        us-nv-las-vegas-strip_b552bdd068e75007.npz
4652     0.019601        sg-one-north_9f49ca997dd25a93.npz
15279    0.019578        us-pa-pittsburgh-hazelwood_20faf78e58be51e2.npz
15440    0.019574        us-pa-pittsburgh-hazelwood_24f29e1185915ca2.npz
7085     0.019573        sg-one-north_f2b04fe2bf515881.npz
18816    0.019562        us-pa-pittsburgh-hazelwood_847d1094593d516c.npz
13986    0.019561        us-nv-las-vegas-strip_edbb5735364e52d5.npz
17302    0.019552        us-pa-pittsburgh-hazelwood_58df54a3eb2e5736.npz
16525    0.019536        us-pa-pittsburgh-hazelwood_4431a28fa01b5957.npz
14504    0.019527        us-pa-pittsburgh-hazelwood_0a2165e57db4582e.npz
5377     0.019525        sg-one-north_b915f276431a5edc.npz
11557    0.019500        us-ma-boston_db626585ef1c52b0.npz
10981    0.019489        us-ma-boston_bdcca72048fc5b77.npz
6122     0.019480        sg-one-north_d1fc33e960f35c15.npz
22920    0.019466        us-pa-pittsburgh-hazelwood_f998259b3c8859ad.npz
18106    0.019464        us-pa-pittsburgh-hazelwood_6eb6f3ac51f55508.npz
14323    0.019460        us-pa-pittsburgh-hazelwood_04fdd74b6a15516b.npz
9338     0.019454        us-ma-boston_67aff2a1d23e5c79.npz
15638    0.019441        us-pa-pittsburgh-hazelwood_2ac13b3dfd10534e.npz
10583    0.019434        us-ma-boston_a96d780ffe495a5b.npz
8632     0.019432        us-ma-boston_401a60ab338b598f.npz
20601    0.019423        us-pa-pittsburgh-hazelwood_b5f907470553546e.npz
15118    0.019422        us-pa-pittsburgh-hazelwood_1c240be853fc5a50.npz
11439    0.019421        us-ma-boston_d5a19a5b5d515157.npz
16596    0.019416        us-pa-pittsburgh-hazelwood_45e2bab8dfa9513d.npz
18381    0.019414        us-pa-pittsburgh-hazelwood_77e5cd6396485d69.npz
20656    0.019409        us-pa-pittsburgh-hazelwood_b7ba1f7e17e35fae.npz
3326     0.019402        sg-one-north_71a45c3b4a3f5ac3.npz
3056     0.019399        sg-one-north_66a5708b23a05826.npz
13372    0.019385        us-nv-las-vegas-strip_9ca034edc7055f65.npz
11860    0.019379        us-ma-boston_ec1b3ba08f3a54da.npz
18771    0.019377        us-pa-pittsburgh-hazelwood_834f73cae43b5ee1.npz
14798    0.019360        us-pa-pittsburgh-hazelwood_130704e0a4605508.npz
5106     0.019359        sg-one-north_afa6b53f71e85e29.npz
21202    0.019352        us-pa-pittsburgh-hazelwood_c7f2f3a3ff44580d.npz
14032    0.019350        us-nv-las-vegas-strip_f38e8a2d70705d05.npz
9404     0.019347        us-ma-boston_6b2c9d5f2ce85438.npz
5692     0.019347        sg-one-north_c2cddfa100be5860.npz
7585     0.019341        us-ma-boston_06f131143d515751.npz
10168    0.019330        us-ma-boston_92f609a2e00755e4.npz
7496     0.019320        us-ma-boston_01a1ed8cb86751dc.npz
1182     0.019319        sg-one-north_27690f0016985dad.npz
8198     0.019299        us-ma-boston_283dac9065af50c3.npz
21481    0.019274        us-pa-pittsburgh-hazelwood_d05fc3b6780a59a4.npz
21033    0.019223        us-pa-pittsburgh-hazelwood_c26ce9f639e755f1.npz
3105     0.019217        sg-one-north_68902c127cf350f1.npz
8344     0.019213        us-ma-boston_2f9022c307ea5532.npz
17542    0.019193        us-pa-pittsburgh-hazelwood_5f88f9cf531057e4.npz
15880    0.019190        us-pa-pittsburgh-hazelwood_324234ea620a5632.npz
7115     0.019186        sg-one-north_f38b2681b6ef501d.npz
15922    0.019183        us-pa-pittsburgh-hazelwood_3347bb1826a55ae1.npz
20221    0.019180        us-pa-pittsburgh-hazelwood_ab9f791fd7e65eba.npz
17575    0.019176        us-pa-pittsburgh-hazelwood_60622e5143215eb3.npz
20315    0.019176        us-pa-pittsburgh-hazelwood_ae5b53e49f2b521c.npz
2149     0.019169        sg-one-north_47e108d5d3ec562c.npz
21181    0.019142        us-pa-pittsburgh-hazelwood_c7757863c0295a64.npz
9401     0.019127        us-ma-boston_6b05aa7e5c1b524c.npz
11280    0.019127        us-ma-boston_ccca3cbddcbf577c.npz
14454    0.019121        us-pa-pittsburgh-hazelwood_08aafd1f913952bd.npz
4254     0.019115        sg-one-north_92873eeafb4150c0.npz
10650    0.019112        us-ma-boston_ad04842c75d851c4.npz
5677     0.019111        sg-one-north_c24bf01ebb7f5d71.npz
21919    0.019109        us-pa-pittsburgh-hazelwood_dcc11d692be653db.npz
22952    0.019108        us-pa-pittsburgh-hazelwood_fa736100734d5d0a.npz
22011    0.019107        us-pa-pittsburgh-hazelwood_dfe2411633035290.npz
12187    0.019102        us-ma-boston_fd52950e6cc554e8.npz
22082    0.019099        us-pa-pittsburgh-hazelwood_e1fae5d391685178.npz
22642    0.019095        us-pa-pittsburgh-hazelwood_f2071aaa55615ac2.npz
5975     0.019091        sg-one-north_cc9d840066b65147.npz
20956    0.019087        us-pa-pittsburgh-hazelwood_bfb731486df65e2b.npz
9912     0.019073        us-ma-boston_855dde82520655eb.npz
17222    0.019070        us-pa-pittsburgh-hazelwood_5689a4d5cd055ad7.npz
17177    0.019067        us-pa-pittsburgh-hazelwood_55748e33f26e59d0.npz
21357    0.019058        us-pa-pittsburgh-hazelwood_ccbbd9c929b055d5.npz
10727    0.019055        us-ma-boston_b0b721a7c30b5637.npz
22478    0.019042        us-pa-pittsburgh-hazelwood_edb00c14418f5853.npz
2029     0.019042        sg-one-north_4427b2dd0d7656a3.npz
18599    0.019041        us-pa-pittsburgh-hazelwood_7e78f2eec0f9534e.npz
18352    0.019020        us-pa-pittsburgh-hazelwood_7701c20aeb485f36.npz
2803     0.019011        sg-one-north_5e594e72a01d57d0.npz
13975    0.019004        us-nv-las-vegas-strip_ebe84c1d27a35913.npz
14407    0.019002        us-pa-pittsburgh-hazelwood_075016175ef85520.npz
18753    0.018995        us-pa-pittsburgh-hazelwood_82e19471ef4f52b1.npz
22652    0.018995        us-pa-pittsburgh-hazelwood_f238d2a057c154b1.npz
23011    0.018976        us-pa-pittsburgh-hazelwood_fbe8a813380c5af6.npz
21053    0.018976        us-pa-pittsburgh-hazelwood_c303d50aed6e583f.npz
10167    0.018967        us-ma-boston_92f028b66dd25700.npz
19493    0.018967        us-pa-pittsburgh-hazelwood_96729d99dd695bd0.npz
20703    0.018966        us-pa-pittsburgh-hazelwood_b8ca4174d8b050c9.npz
6036     0.018947        sg-one-north_cee1b02fc6965fa5.npz
20159    0.018938        us-pa-pittsburgh-hazelwood_a9d3ab1c930b5743.npz
14303    0.018935        us-pa-pittsburgh-hazelwood_047a96aeae6851ea.npz
14456    0.018931        us-pa-pittsburgh-hazelwood_08c3b15c802a5757.npz
17318    0.018931        us-pa-pittsburgh-hazelwood_595689ab172256fb.npz
10321    0.018914        us-ma-boston_9b15758452a5584f.npz
14028    0.018910        us-nv-las-vegas-strip_f3367eccc2e2502f.npz
20282    0.018905        us-pa-pittsburgh-hazelwood_ad6aba8b5650551a.npz
22704    0.018898        us-pa-pittsburgh-hazelwood_f3a5e0f3975d5818.npz
19555    0.018892        us-pa-pittsburgh-hazelwood_9874c937868356c8.npz
9663     0.018889        us-ma-boston_78d80364dc475d1a.npz
5751     0.018886        sg-one-north_c4cbdf8638c25f3b.npz
18484    0.018883        us-pa-pittsburgh-hazelwood_7b997f91f7de5479.npz
20477    0.018878        us-pa-pittsburgh-hazelwood_b297fa2a712159ae.npz
9567     0.018872        us-ma-boston_73eb5b935b855da6.npz
15820    0.018867        us-pa-pittsburgh-hazelwood_3070295321705038.npz
17752    0.018861        us-pa-pittsburgh-hazelwood_655b1f0d907757ff.npz
18161    0.018859        us-pa-pittsburgh-hazelwood_712b6176f22454c8.npz
16025    0.018858        us-pa-pittsburgh-hazelwood_35aa9adca67a5d37.npz
20732    0.018848        us-pa-pittsburgh-hazelwood_b9c9b3776fca5cfd.npz
15423    0.018836        us-pa-pittsburgh-hazelwood_248a70ec64a8554f.npz
20369    0.018832        us-pa-pittsburgh-hazelwood_afc50367af1b55fe.npz
15320    0.018818        us-pa-pittsburgh-hazelwood_22010e4049e3573c.npz
10346    0.018813        us-ma-boston_9c5144c9adbe5cdb.npz
19772    0.018809        us-pa-pittsburgh-hazelwood_9e63f5ed8d6a5265.npz
16178    0.018787        us-pa-pittsburgh-hazelwood_39fff0fab3cb5918.npz
21996    0.018784        us-pa-pittsburgh-hazelwood_df7ca6eac011517e.npz
630      0.018782        sg-one-north_15e67da82d665785.npz
1121     0.018782        sg-one-north_25d2f483bb53539b.npz
10206    0.018782        us-ma-boston_95414c630bfa5349.npz
16233    0.018781        us-pa-pittsburgh-hazelwood_3bc39efd38fa51af.npz
2380     0.018777        sg-one-north_502037e9f20f5c17.npz
3019     0.018772        sg-one-north_656c47e6d32059a3.npz
13599    0.018764        us-nv-las-vegas-strip_b97866e763255a0c.npz
14939    0.018754        us-pa-pittsburgh-hazelwood_16f0ee64b55958ae.npz
9655     0.018695        us-ma-boston_785c72066f5459fe.npz
7565     0.018694        us-ma-boston_05bfdb24d5195bef.npz
16848    0.018691        us-pa-pittsburgh-hazelwood_4c4e189a11e6582f.npz
22571    0.018687        us-pa-pittsburgh-hazelwood_f01434a8f0c45f85.npz
19767    0.018684        us-pa-pittsburgh-hazelwood_9e450a08a6175af9.npz
22967    0.018684        us-pa-pittsburgh-hazelwood_fab0a849c34e5c19.npz
3751     0.018681        sg-one-north_80791ec200465792.npz
21705    0.018676        us-pa-pittsburgh-hazelwood_d7211af623f35f2c.npz
